Tanggal,Customer,Kota,Nama Produk,Jumlah Terjual,Harga Satuan,Total Harga,Bulan
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACRILIC RUANGAN BER-AC,3,11500,34500,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR BUKA-TUTUP+RANTAI,3,26000,78000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR. OPEN-CLOSE+RANTAI,6,26000,156000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR. DILARANG.P.DPINTU,3,11500,34500,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR.RUANG BEBAS ASAP ROKOK,12,11500,138000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR. JAGALAH KEBERSIHAN,18,11500,207000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACRILIC BUKA-TUTUP FORMAL,12,26000,312000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACRILIC AWAS KACA,3,11500,34500,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACRILIC TOILET WANITA,3,11500,34500,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACRILIC MUSHOLA [FORMAL],3,11500,34500,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACRILIC FREE- WIFI,3,11500,34500,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR TITIK KUMPUL UK.FOLIO,3,26800,80400,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACRILIC TOILET (KIRI),3,11500,34500,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR. TEMPAT WUDHU WANITA,3,11500,34500,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACRILIC JALUR EVAKUASI (KANAN),6,11500,69000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR BUKA SHOLAT+RANTAI,3,26000,78000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR NO SMOKING  T/D,6,7500,45000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR ARAH KIBLAT (KANAN) T/D,3,7500,22500,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR ARAH KIBLAT (KIRI) T/D,3,7500,22500,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR KASIR T/D,3,7500,22500,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR RECEPTION T/D,6,7500,45000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACR CCTV T/D,6,7500,45000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACRILIC NAME PLATE 7 X 10,30,8200,246000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,ACRILIC NAME PLATE LEAN 7X30,18,18300,329400,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,NAME PLATE MEIKO 8X30BB,30,17000,510000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,STAND UP SIGN HOLDER 10X12,6,13000,78000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,LEAN SIGN HOLDER A5,6,24500,147000,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,LEAN SIGN HOLDER 10X12,12,12600,151200,2025-05
2025-05-05,PADMA UTAMA JADI CV,SEMARANG,LEAN SIGN HOLDER A4,6,50700,304200,2025-05
2025-05-06,YOGYA DEPO,YOGYAKARTA,BOXFILE MEDIUM BF112 M.BLUE,6,19500,117000,2025-05
2025-05-06,YOGYA DEPO,YOGYAKARTA,BOXFILE MEDIUM BF114 DARK BLUE,8,19500,156000,2025-05
2025-05-06,YOGYA DEPO,YOGYAKARTA,BOXFILE MEDIUM BF115 RED,6,19500,117000,2025-05
2025-05-06,YOGYA DEPO,YOGYAKARTA,BOXFILE MEDIUM BF116 GREEN,6,19500,117000,2025-05
2025-05-06,YOGYA DEPO,YOGYAKARTA,CLIBOARD BOYKO MELAMINE PUTIH,12,9400,112800,2025-05
2025-05-06,YOGYA DEPO,YOGYAKARTA,LEM TANGGUNG BOYKO,12,3500,42000,2025-05
2025-05-06,YOGYA DEPO,YOGYAKARTA,DUAL BOARD BOYKO ( BARU),1,33600,33600,2025-05
2025-05-06,YOGYA DEPO,YOGYAKARTA,BOYKO DEST SET 115 (1/2 L ),3,19000,57000,2025-05
2025-05-06,YOGYA DEPO,YOGYAKARTA,BOYKO DESK SET 117,3,19000,57000,2025-05
2025-05-06,YOGYA DEPO,YOGYAKARTA,ACRYLIC TOILET 20X15,3,18400,55200,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,LABEL BOOK STICKER FANCY,12,10700,128400,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,BOXFILE LACI BF603 HITAM,1,23300,23300,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,BOYKO CASE BULAT JARING W/BAND,36,11000,396000,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,PENCIL CASE MOTIF TIMBUL,48,5500,264000,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,BOYKO PENCIL CASE RESLETING,48,5500,264000,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACR BE MUSHOLLA,3,11500,34500,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACRILIC TOILET,3,11500,34500,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACRILIC ARAH KIBLAT,3,11500,34500,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,AC SELAIN KRYWN DILRG MSK,3,11500,34500,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACR.D.MEROKOK/NO SMOKING,3,11500,34500,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACR.PINTU HRP DITTUP KMBLI,3,11500,34500,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACRILIC TOILET (KANAN),2,11500,23000,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACR. TEMPAT WUDHU PRIA,3,11500,34500,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACR TOILET T/D,1,7500,7500,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACR MUSHOLLA T/D,2,7500,15000,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACR GESER HORIZON (KANAN) T/D,2,7500,15000,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACR DILRG MASUK T/D,2,7500,15000,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,NAME PLATE MEIKO 8X30BB,60,17000,1020000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,BOYKO D.BROSUR ACR A6 2SUSUN,6,57000,342000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,BOYKO D.BROSUR ACR A5 2SUSUN,6,83500,501000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACR BE BUKA-TUTUP RANTAI,3,35300,105900,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRILIC TOILET,6,15000,90000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACR. OPEN-CLOSE+RANTAI,3,35300,105900,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACR.RUANG BEBAS ASAP ROKOK,3,15000,45000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACR. JAGALAH KEBERSIHAN,3,15000,45000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRILIC BUKA-TUTUP FORMAL,6,35300,211800,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRILIC OPEN-CLOSE FORMAL,6,35300,211800,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRILIC ARAH KIBLAT,6,15000,90000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,AC SELAIN KRYWN DILRG MSK,3,15000,45000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRILIC TOILET PRIA,3,15000,45000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRILIC TOILET WANITA,3,15000,45000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRILIC OFFICE/KANTOR,3,15000,45000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRILIC MUSHOLA [FORMAL],6,15000,90000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACR AREA MEROKOK,3,15000,45000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACR BUANG SMPAH PD TMPT,3,15000,45000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACR.PINTU HRP DITTUP KMBLI,3,15000,45000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRILIC T/D PUSH PULL [SET],6,18500,111000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACR. TEMPAT WUDHU PRIA,3,15000,45000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACR. TEMPAT WUDHU WANITA,3,15000,45000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACR BUKA SHOLAT+RANTAI,6,35300,211800,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRILIC CCTV 20 X 15,3,21700,65100,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACR L/G BUKA-TUTUP +RANTAI,3,24000,72000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACR DLRG BUANG PUNTUNG KETOILT,3,15000,45000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRYLIC DILARANG MEROKOK 10X15,3,13600,40800,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,DILRG BUANG SMPH TOILET 10X15,3,13600,40800,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACR MATIKAN KERAN AIR 10X15,3,13600,40800,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRILIC NAME PLATE 7 X 10,6,12000,72000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRILIC NAME PLATE 7 X 30,6,29300,175800,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRILIC NAME PLATE 7  X 25,6,25500,153000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRILIC NAME PLATE LEAN 7X15,6,14000,84000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRILIC NAME PLATE LEAN 6X25,6,20000,120000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,ACRILIC NAME PLATE LEAN 7X20,6,19700,118200,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,NAME PLATE MEIKO 8X25BB,6,22300,133800,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,NAME PLATE MEIKO 8X30BB,6,25000,150000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,STAND UP SIGN HOLDER A5,6,44700,268200,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,STAND UP SIGN HOLDER 10X12,6,23000,138000,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,STAND UP SIGN 10X15,6,27800,166800,2025-05
2025-05-07,RATNA KERTAS #,WONOSOBO,LEAN SIGN HOLDER A5,6,41800,250800,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,D.BROSUR ACRILIC PUTIH A5,12,62500,750000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,ACRILIC TOILET,24,15000,360000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,ACRILIC KELUAR- MASUK,24,28000,672000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,ACR.RUANG BEBAS ASAP ROKOK,24,15000,360000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,ACR. JAGALAH KEBERSIHAN,24,15000,360000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,ACRILIC OPEN-CLOSE FORMAL,24,35300,847200,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,ACRILIC STAFF ONLY,24,15000,360000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,AC SELAIN KRYWN DILRG MSK,24,15000,360000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,ACRILIC TOILET PRIA,24,15000,360000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,ACRILIC TOILET WANITA,12,15000,180000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,ACRILIC KASIR,24,15000,360000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,ACRILIC CCTV 20 X 15,24,21700,520800,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,ACRYLIC TOILET 20X15,24,21700,520800,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,ACRILIC NAME PLATE LEAN 7X10,24,10500,252000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,ACRILIC NAME PLATE LEAN 7X15,24,14000,336000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,ACRILIC NAME PLATE LEAN 7X30,24,23000,552000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,ACRILIC NAME PLATE LEAN 6X25,24,20000,480000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,ACRILIC NAME PLATE LEAN 7X20,24,19700,472800,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,STAND UP SIGN HOLDER A5,24,44700,1072800,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,STAND UP SIGN HOLDER F4,12,83500,1002000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,STAND UP SIGN HOLDER 10X12,12,23000,276000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,STAND UP HORISONTAL F4,6,83500,501000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,STAND UP HORISONTAL A4,12,83500,1002000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,STAND UP SIGN HOLDER A4,12,83500,1002000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,LEAN SIGN HOLDER A5,24,41800,1003200,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,LEAN SIGN HOLDER 10X12,6,20500,123000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,LEAN SIGN HOLDER A4,12,81000,972000,2025-05
2025-05-09,PUSAKA ILMU PALANGKA,KALIMANTAN TENGAH,LEAN SIGN HOLDER 11X21,12,31500,378000,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,BOYKO PENCIL CASE RESLETING,12,5500,66000,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACR BE CCTV 20X15,5,14600,73000,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACRILIC TOILET,3,11500,34500,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACRILIC OPEN-CLOSE FORMAL,3,26000,78000,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACR.ISTIRAHAT BUKA +RANTAI,3,26000,78000,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACR.D.MEROKOK/NO SMOKING,6,11500,69000,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACRILIC KASIR,3,11500,34500,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACRILIC T/D PUSH PULL [SET],6,13500,81000,2025-05
2025-05-06,PADMA UTAMA JADI CV,SEMARANG,ACR MUSHOLLA T/D,1,7500,7500,2025-05
2025-05-09,BONET***,SURABAYA,BOYKO DISPLAY BROSUR MDF A6,12,25000,300000,2025-05
2025-05-09,BONET***,SURABAYA,ACRILIC TOILET,6,16200,97200,2025-05
2025-05-09,BONET***,SURABAYA,ACR BUKA-TUTUP+RANTAI,7,37700,263900,2025-05
2025-05-09,BONET***,SURABAYA,ACR. OPEN-CLOSE+RANTAI,11,37700,414700,2025-05
2025-05-09,BONET***,SURABAYA,ACRILIC TOILET WANITA,6,16200,97200,2025-05
2025-05-09,BONET***,SURABAYA,ACRILIC GENT/PRIA 10X15,6,14400,86400,2025-05
2025-05-09,BONET***,SURABAYA,ACR.D.MEROKOK/NO SMOKING,12,16200,194400,2025-05
2025-05-09,BONET***,SURABAYA,ACR BUANG SMPAH PD TMPT,12,16200,194400,2025-05
2025-05-09,BONET***,SURABAYA,ACRILIC NAME PLATE 7 X 10,12,13000,156000,2025-05
2025-05-09,BONET***,SURABAYA,ACRILIC NAME PLATE 7X20,12,22200,266400,2025-05
2025-05-09,BONET***,SURABAYA,ACRILIC NAME PLATE B/B 7X20,24,30000,720000,2025-05
2025-05-09,BONET***,SURABAYA,ACRILIC NAME PLATE 7  X 25,12,27000,324000,2025-05
2025-05-09,BONET***,SURABAYA,ACRILIC NAME PLATE  7 X 25 B/B,12,33000,396000,2025-05
2025-05-09,BONET***,SURABAYA,STAND UP SIGN HOLDER A4,6,88800,532800,2025-05
2025-05-09,ANDRE BU,SURABAYA,BOYKO D. BROSUR A6 + DECOVIL,12,25500,306000,2025-05
2025-05-09,ANDRE BU,SURABAYA,BOYKO D.BROSUR ACR A6 2SUSUN,6,51300,307800,2025-05
2025-05-09,ANDRE BU,SURABAYA,BOYKO D.BROSUR ACR A5 2SUSUN,12,75600,907200,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACR BE TARIK DORONG,10,16300,163000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACR BUKA-TUTUP+RANTAI,10,30800,308000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACR. OPEN-CLOSE+RANTAI,10,30800,308000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACRILIC KELUAR- MASUK,10,24200,242000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACR.ISTIRAHAT BUKA +RANTAI,10,30800,308000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACRILIC AWAS KACA,10,13300,133000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACRILIC FREE- WIFI,10,13300,133000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACRILIC T/D PUSH PULL [SET],10,16300,163000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACR BUKA SHOLAT+RANTAI,10,30800,308000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACRILIC CCTV 20 X 15,10,19000,190000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACR L/G OPEN-CLOSE +RANTAI,10,21800,218000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACR ARAH KIBLAT (KANAN) T/D,10,9400,94000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACR ARAH KIBLAT (KIRI) T/D,10,9400,94000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACR KASIR T/D,10,9400,94000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACR TOILET T/D,10,9400,94000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACR OFFICE T/D,10,9400,94000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACR GESER HORIZON (KANAN) T/D,10,9400,94000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACR GESER HORIZON (KIRI) T/D,10,9400,94000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACR CCTV T/D,10,9400,94000,2025-05
2025-05-09,ANDRE BU,SURABAYA,ACRILIC NAME PLATE 7 X 10,54,10700,577800,2025-05
2025-05-09,ANDRE BU,SURABAYA,NAME PLATE MEIKO 8X25BB,30,19800,594000,2025-05
2025-05-09,ANDRE BU,SURABAYA,NAME PLATE MEIKO 8X30BB,30,21900,657000,2025-05
2025-05-09,ANDRE BU,SURABAYA,STAND UP SIGN HOLDER A5,12,39000,468000,2025-05
2025-05-09,ANDRE BU,SURABAYA,STAND UP SIGN HOLDER 10X12,12,20300,243600,2025-05
2025-05-09,ANDRE BU,SURABAYA,LEAN SIGN HOLDER A5,12,36400,436800,2025-05
2025-05-09,ANDRE BU,SURABAYA,LEAN SIGN HOLDER 11X21,6,28800,172800,2025-05
2025-05-08,SINAR SEHAT **,SEMARANG,ACRILIC TOILET,3,16200,48600,2025-05
2025-05-08,SINAR SEHAT **,SEMARANG,ACR.D.MEROKOK/NO SMOKING,3,16200,48600,2025-05
2025-05-08,SINAR SEHAT **,SEMARANG,ACRILIC MUSHOLA [FORMAL],3,16200,48600,2025-05
2025-05-08,SINAR SEHAT **,SEMARANG,ACRILIC T/D PUSH PULL [SET],3,19700,59100,2025-05
2025-05-08,"IDOLA, TK",SEMARANG,ACRILIC BUKA-TUTUP FORMAL,3,35300,105900,2025-05
2025-05-08,"IDOLA, TK",SEMARANG,ACR BUKA SHOLAT+RANTAI,3,35300,105900,2025-05
2025-05-08,"IDOLA, TK",SEMARANG,ACR L/G BUKA-TUTUP +RANTAI,3,24000,72000,2025-05
2025-05-08,"IDOLA, TK",SEMARANG,ACR KASIR T/D,3,10500,31500,2025-05
2025-05-08,"IDOLA, TK",SEMARANG,ACR TOILET PRIA T/D,3,10500,31500,2025-05
